feature_index,feature_name,mse,mae,rmse
43,feature_43,0.030270477191575496,0.13882776739720804,0.1739841291370437
22,feature_22,0.34453487689865536,0.43712335871358315,0.5869709336063034
6,feature_6,0.38577824724053006,0.3690086102854208,0.6211104951943173
27,feature_27,0.447364210054314,0.5030074695359188,0.6688529061417869
30,feature_30,0.47162337437359936,0.5348310093609935,0.686748406895567
1,feature_1,0.47816808585968623,0.508305211186504,0.6914969890460018
5,feature_5,0.49906950440425796,0.5244154950510458,0.7064485150414416
10,feature_10,0.5028145988312376,0.5272225035405254,0.7090942101239
9,feature_9,0.5394642084007719,0.5394534669914094,0.7344822723529628
4,feature_4,0.5632943705646165,0.5074108840030503,0.7505293935380656
16,feature_16,0.5671198002910234,0.5337055002645668,0.7530735689765133
13,feature_13,0.6132527792151705,0.5672240510613795,0.7831045774449097
29,feature_29,0.6169443728990289,0.5364012884010831,0.7854580656527941
24,feature_24,0.6273071857102839,0.533840447390127,0.7920272632367423
2,feature_2,0.628198765874004,0.40477446541957174,0.7925899102776947
3,feature_3,0.6282694402079183,0.5460339631707545,0.7926344934507444
21,feature_21,0.6336162191079432,0.5161668287786355,0.7960001376306057
8,feature_8,0.6349099519889193,0.6296172454712401,0.7968123693749485
14,feature_14,0.6381433605422062,0.622508081346489,0.7988387575363417
18,feature_18,0.6631113773421937,0.4053326531763571,0.8143165093145255
34,feature_34,0.6691373327004482,0.4609539099461529,0.8180081495318052
31,feature_31,0.676035324716758,0.45692259166459165,0.8222136733944273
38,feature_38,0.6834580052835533,0.42226383878548307,0.8267151899436427
28,feature_28,0.6866112276480018,0.47959083509711153,0.8286200743694312
23,feature_23,0.6884422314647659,0.3886812048680279,0.8297241899961492
39,feature_39,0.6903270017585906,0.4692149019157744,0.8308591949052443
37,feature_37,0.691892411214517,0.3926071326024029,0.8318007040238166
42,feature_42,0.6974173610246513,0.4359388438433765,0.8351151782985694
7,feature_7,0.72292055508435,0.4751216956393177,0.8502473493544982
41,feature_41,0.7230933996436131,0.4480460672933267,0.8503489869715922
33,feature_33,0.7238836100908864,0.5506448609857445,0.8508134990060315
35,feature_35,0.7902263453996514,0.6768202626992031,0.8889467618477788
26,feature_26,0.8727937461093127,0.6595254789436006,0.9342343100685784
0,feature_0,0.8997856090287288,0.5683971140827315,0.9485702973574119
36,feature_36,0.9687954093781126,0.6234295328451818,0.9842740519683085
32,feature_32,1.0710102385380353,0.3981628567760209,1.0348962453009651
11,feature_11,1.0986567448954183,0.5708196689803287,1.0481682808096313
25,feature_25,1.3545474660197103,0.607332783028044,1.1638502764615861
17,feature_17,3.27319202428567,0.9631572146959039,1.8091965134516674
15,feature_15,3.286388781908499,0.13798838391550983,1.8128399769170194
12,feature_12,3.423165561776332,1.0055000361833915,1.8501798728167842
19,feature_19,3.98155947265625,1.0296910251571838,1.9953845425521994
40,feature_40,4.116234424800797,1.0364747420474352,2.0288505181015175
20,feature_20,22.429920967691732,1.649048970329619,4.736023750752495
