val_mae_per_pos,train/lr,train/masked_positions,train/mae_loss,train/avg_mae,train/avg_mse,epoch/loss,val_loss,eval/mse_per_position,train/epoch,eval/mae_per_position,_timestamp,train/masking_ratio,train/mse_per_position,val_mae,train/step,train/mae_per_position,epoch/best_eval_loss,_runtime,eval/epoch,eval/loss,train/loss,val_mse_per_pos,epoch/mae,eval/mse_loss,validation_loss,_step,validation_mae,eval/masked_positions,train/total_positions,eval/mae_loss,epoch/number,epoch/mse,eval/step,train/mse_loss,train/avg_loss,epoch/samples_processed,val_mse,validation_mse,epoch/lr,eval/is_best,eval/improvement
,,,,,,1.2842388343811035,,,,,1759294115.2654603,,,,,,Infinity,316.92296733,,,,,0.8492517298460007,,,12,,,,,1.0,1.2842388343811035,,,,400.0,,,1.2000000000000002e-06,,
,,,,,,1.1146465510129928,,,,,1759294273.5473766,,,,,,Infinity,475.186509291,,,,,0.7776763784885407,,,24,,,,,2.0,1.1146465510129928,,,,400.0,,,2.4000000000000003e-06,,
,,,,,,0.9118686681985855,,,,,1759294431.810726,,,,,,Infinity,633.3930330109999,,,,,0.6786378109455109,,,36,,,,,3.0,0.9118686681985855,,,,400.0,,,3.6e-06,,
,,,,,,0.7483087360858918,,,,,1759294590.0160654,,,,,,Infinity,659.6447202,,,,,0.5896377086639404,,,48,,,,,4.0,0.7483087360858918,,,,400.0,,,4.800000000000001e-06,,
,5e-06,870037.0,0.5688696503639221,0.553879709827783,0.7647374941703848,,,,4.15,,1759294616.268605,0.49433920454545455,7.942175717113477e-07,,50.0,6.538453541216318e-07,,791.530610696,,,0.6909986734390259,,,,,50,,,1760000.0,,,,,0.6909986734390259,0.7647374941703848,,,,,,
,,,,,,0.6393069240450859,,,,,1759294748.1550949,,,,,,Infinity,949.663564439,,,,,0.5248500284552574,,,60,,,,,5.0,0.6393069240450859,,,,400.0,,,6e-06,,
,,,,,,0.5671502926945686,,,,,1759294906.2862368,,,,,,Infinity,1107.757360802,,,,,0.48610317081212995,,,72,,,,,6.0,0.5671502926945686,,,,400.0,,,7.2e-06,,
,,,,,,0.5156161648035049,,,,,1759295064.3798604,,,,,,Infinity,1265.863651863,,,,,0.46009126454591753,,,84,,,,,7.0,0.5156161648035049,,,,400.0,,,8.400000000000001e-06,,
,,,,,,0.4780872741341591,,,,,1759295222.488057,,,,,,Infinity,1317.171429843,,,,,0.4394444289803505,,,96,,,,,8.0,0.4780872741341591,,,,400.0,,,9.600000000000001e-06,,
,1e-05,877472.0,0.4387877881526947,0.42360133022485835,0.4786881701646789,,,,8.31,,1759295273.7956839,0.4985636363636364,5.016180281022468e-07,,100.0,5.000590197210791e-07,,1423.941006295,,,0.4401557743549347,,,,,100,,,1760000.0,,,,,0.4401557743549347,0.4786881701646789,,,,,,
,,,,,,0.44938442677259444,,,,,1759295380.5653634,,,,,,Infinity,1582.068797486,,,,,0.42183904618024826,,,108,,,,,9.0,0.44938442677259444,,,,400.0,,,1.08e-05,,
,,,,,,0.4266260942816734,,,,,1759295538.6908057,,,,,,Infinity,1740.116613558,,,,,0.407220903635025,,,120,,,,,10.0,0.4266260942816734,,,,400.0,,,1.2e-05,,
,,,,,,0.4077800518274307,,,,,1759295696.7390463,,,,,,Infinity,1898.116382161,,,,,0.39467899352312086,,,132,,,,,11.0,0.4077800518274307,,,,400.0,,,1.32e-05,,
,,,,,,0.3917694064974785,,,,,1759295854.7406507,,,,,,Infinity,1974.486387273,,,,,0.3835738807916641,,,144,,,,,12.0,0.3917694064974785,,,,400.0,,,1.44e-05,,
,1.5e-05,878760.0,0.37214890122413635,0.37063507671710655,0.38607109180813903,,,,12.47,,1759295931.110443,0.49929545454545454,3.6704404053806775e-07,,150.0,4.234932191088993e-07,,2056.136166528,,,0.3225436210632324,,,,,150,,,1760000.0,,,,,0.3225436210632324,0.38607109180813903,,,,,,
,,,,,,0.37802382215857505,,,,,1759296012.7585087,,,,,,Infinity,2214.074829029,,,,,0.37368144214153287,,,156,,,,,13.0,0.37802382215857505,,,,400.0,,,1.56e-05,,
,,,,,,0.3657342483103275,,,,,1759296170.6990888,,,,,,Infinity,2371.981139962,,,,,0.36462158322334287,,,168,,,,,14.0,0.3657342483103275,,,,400.0,,,1.6800000000000002e-05,,
,,,,,,0.3547459979355335,,,,,1759296328.6054516,,,,,,Infinity,2531.057118543,,,,,0.3564069131016731,,,180,,,,,15.0,0.3547459979355335,,,,400.0,,,1.8e-05,,
,,,,,,0.3447467608749866,,,,,1759296487.6814437,,,,,,Infinity,2632.504548189,,,,,0.3486534583568573,,,192,,,,,16.0,0.3447467608749866,,,,400.0,,,1.9200000000000003e-05,,
,2e-05,881526.0,0.30049943923950195,0.33861323444712677,0.33813487038558127,,,,16.63,,1759296589.128497,0.5008670454545454,2.8504463611774435e-07,,200.0,3.408855090371719e-07,,2688.915469524,,,0.2512742578983307,,,,,200,,,1760000.0,,,,,0.2512742578983307,0.33813487038558127,,,,,,
,,,,,,0.3354483532905579,,,,,1759296645.5398335,,,,,,Infinity,2846.693033847,,,,,0.3413170671463013,,,204,,,,,17.0,0.3354483532905579,,,,400.0,,,2.04e-05,,
,,,,,,0.32692952781915663,,,,,1759296803.3156147,,,,,,Infinity,3004.383153348,,,,,0.3342903596162796,,,216,,,,,18.0,0.32692952781915663,,,,400.0,,,2.16e-05,,
,,,,,,0.3193708620965481,,,,,1759296961.0073445,,,,,,Infinity,3162.065979322,,,,,0.32768861442804337,,,228,,,,,19.0,0.3193708620965481,,,,400.0,,,2.2800000000000002e-05,,
,,,,,,0.3123698502779007,,,,,1759297118.6904428,,,,,,Infinity,3288.379185554,,,,,0.32147094517946245,,,240,,,,,20.0,0.3123698502779007,,,,400.0,,,2.4e-05,,
,2.5e-05,881723.0,0.33402588963508606,0.31336430384729547,0.30681470128680116,,,,20.79,,1759297245.0032248,0.5009789772727272,3.6886944271009613e-07,,250.0,3.7883313652369967e-07,,3319.685338408,,,0.3252406716346741,,,,,250,,,1760000.0,,,,,0.3252406716346741,0.30681470128680116,,,,,,
,,,,,,0.3060066688060761,,,,,1759297276.3077354,,,,,,Infinity,3477.297484898,,,,,0.3157125183939934,,,252,,,,,21.0,0.3060066688060761,,,,400.0,,,2.5200000000000003e-05,,
,,,,,,0.3002273024618626,,,,,1759297433.9200976,,,,,,Infinity,3634.854405286,,,,,0.31048574328422546,,,264,,,,,22.0,0.3002273024618626,,,,400.0,,,2.64e-05,,
,,,,,,0.2950207544863224,,,,,1759297591.4787858,,,,,,Infinity,3792.453664464,,,,,0.305758895277977,,,276,,,,,23.0,0.2950207544863224,,,,400.0,,,2.7600000000000003e-05,,
,,,,,,0.2902997499704361,,,,,1759297749.0781057,,,,,,Infinity,3943.786630665,,,,,0.3014909563958645,,,288,,,,,24.0,0.2902997499704361,,,,400.0,,,2.88e-05,,
,3e-05,870937.0,0.2673763632774353,0.296457176399458,0.2860774301538871,0.28602727174758913,,,24.95,,1759297906.7023203,0.49485056818181816,3.1043807223355913e-07,,300.0,3.0699851226602535e-07,Infinity,4107.671368312,,,0.2703720033168793,,0.29760944575071335,,,300,,,1760000.0,,25.0,0.28602727174758913,,0.2703720033168793,0.2860774301538871,400.0,,,3e-05,,
